City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
4,4,Daru,PG,2021-04-24 17:22:13,-9.0763,143.2092,80.04,84,85,5.53,moderate rain
6,6,Loja,EC,2021-04-24 17:22:14,-3.9931,-79.2042,84.2,42,40,16.11,light rain
12,12,Ouegoa,NC,2021-04-24 17:22:15,-20.35,164.4333,76.08,85,92,8.3,moderate rain
20,20,Butaritari,KI,2021-04-24 17:22:17,3.0707,172.7902,82.15,73,99,9.26,light rain
23,23,Buala,SB,2021-04-24 17:22:17,-8.145,159.5921,79.5,82,54,1.9,broken clouds
27,27,Harper,LR,2021-04-24 17:22:18,4.375,-7.7169,84.81,73,61,10.78,broken clouds
29,29,Arraial Do Cabo,BR,2021-04-24 17:22:19,-22.9661,-42.0278,78.8,73,20,10.36,few clouds
31,31,Kapaa,US,2021-04-24 17:22:19,22.0752,-159.319,73.99,73,75,17.27,light rain
35,35,Cidreira,BR,2021-04-24 17:22:21,-30.1811,-50.2056,75.85,62,25,11.54,scattered clouds
37,37,Rikitea,PF,2021-04-24 17:22:21,-23.1203,-134.9692,78.6,71,100,15.43,overcast clouds
38,38,Touros,BR,2021-04-24 17:22:21,-5.1989,-35.4608,78.8,89,75,14.97,broken clouds
40,40,Merritt Island,US,2021-04-24 17:22:22,28.5392,-80.672,82.99,65,40,14.97,scattered clouds
43,43,Santa Rosa,PH,2021-04-24 17:22:23,14.3122,121.1114,81.0,78,20,3.8,few clouds
44,44,Atuona,PF,2021-04-24 17:22:23,-9.8,-139.0333,80.42,75,36,21.56,scattered clouds
45,45,Cordoba,AR,2021-04-24 17:17:47,-31.4135,-64.1811,73.0,56,75,10.36,broken clouds
47,47,Kikwit,CD,2021-04-24 17:22:23,-5.041,18.8162,72.59,86,98,2.62,overcast clouds
53,53,Los Llanos De Aridane,ES,2021-04-24 17:18:01,28.6585,-17.9182,73.4,56,20,5.75,few clouds
54,54,Hithadhoo,MV,2021-04-24 17:22:25,-0.6,73.0833,83.53,69,41,6.62,scattered clouds
58,58,Kavieng,PG,2021-04-24 17:22:25,-2.5744,150.7967,81.01,78,49,6.67,scattered clouds
59,59,Manjacaze,MZ,2021-04-24 17:22:26,-24.7117,33.8828,70.27,71,4,6.29,clear sky
60,60,Benguela,AO,2021-04-24 17:22:26,-12.5763,13.4055,82.22,78,49,5.12,scattered clouds
63,63,Puerto Ayora,EC,2021-04-24 17:20:11,-0.7393,-90.3518,82.4,74,75,12.66,broken clouds
64,64,Souillac,MU,2021-04-24 17:22:27,-20.5167,57.5167,78.8,89,75,14.97,light rain
69,69,Cockburn Town,TC,2021-04-24 17:19:59,21.4612,-71.1419,84.2,61,40,13.8,scattered clouds
76,76,Yenagoa,NG,2021-04-24 17:22:29,4.9247,6.2642,81.93,73,97,7.36,overcast clouds
79,79,Ixtapa,MX,2021-04-24 17:22:30,20.7,-105.2,80.6,65,75,5.75,broken clouds
81,81,Sao Filipe,CV,2021-04-24 17:22:31,14.8961,-24.4956,72.25,73,50,13.22,scattered clouds
91,91,Hansi,IN,2021-04-24 17:22:32,29.1,75.9667,79.97,16,0,8.5,clear sky
92,92,Karratha,AU,2021-04-24 17:22:32,-20.7377,116.8463,79.39,40,0,5.61,clear sky
93,93,Vao,NC,2021-04-24 17:22:33,-22.6667,167.4833,76.01,66,100,11.05,overcast clouds
95,95,Alta Gracia,AR,2021-04-24 17:22:33,-31.6529,-64.4283,75.0,56,75,10.36,broken clouds
98,98,Bambous Virieux,MU,2021-04-24 17:22:34,-20.3428,57.7575,79.0,89,75,14.97,light rain
102,102,La Asuncion,VE,2021-04-24 17:22:35,11.0333,-63.8628,73.4,94,47,23.02,scattered clouds
105,105,Rafaela,AR,2021-04-24 17:22:36,-31.2503,-61.4867,70.0,63,80,7.0,broken clouds
109,109,Kampong Chhnang,KH,2021-04-24 17:22:37,12.1667,104.55,80.69,73,92,1.66,overcast clouds
113,113,Kirakira,SB,2021-04-24 17:22:38,-10.4544,161.9205,79.14,80,96,3.78,overcast clouds
116,116,Banda Aceh,ID,2021-04-24 17:21:07,5.5577,95.3222,80.26,75,100,10.54,overcast clouds
121,121,Payo,ID,2021-04-24 17:20:45,-3.7508,103.6372,74.75,89,99,1.7,overcast clouds
126,126,Marawi,PH,2021-04-24 17:22:40,7.9986,124.2928,77.0,89,46,7.0,scattered clouds
128,128,Farafangana,MG,2021-04-24 17:22:41,-22.8167,47.8333,72.23,87,31,5.19,moderate rain
129,129,Namibe,AO,2021-04-24 17:19:14,-15.1961,12.1522,80.04,74,64,10.65,broken clouds
134,134,Diego De Almagro,CL,2021-04-24 17:22:42,-26.3667,-70.05,71.92,28,0,8.63,clear sky
135,135,Salalah,OM,2021-04-24 17:22:43,17.0151,54.0924,82.53,73,19,7.56,few clouds
141,141,Cayenne,GF,2021-04-24 17:22:44,4.9333,-52.3333,78.8,94,90,5.75,light rain
153,153,Saint George,US,2021-04-24 17:22:47,37.1041,-113.5841,75.0,17,1,11.5,clear sky
157,157,Shahreza,IR,2021-04-24 17:22:49,32.0339,51.8794,71.26,15,66,5.88,broken clouds
159,159,Mayor Pablo Lagerenza,PY,2021-04-24 17:22:49,-19.9309,-60.7718,76.19,86,98,9.75,overcast clouds
160,160,Kiunga,PG,2021-04-24 17:22:49,-6.1219,141.2906,73.85,99,100,2.08,moderate rain
161,161,Kapit,MY,2021-04-24 17:22:49,2.0167,112.9333,73.0,99,78,0.89,broken clouds
