City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2021-04-22 02:41:53,-33.9258,18.4232,64.0,94,0,5.75
1,Maturin,VE,2021-04-22 02:42:22,9.75,-63.1767,73.04,88,23,5.61
2,Vaini,TO,2021-04-22 02:42:22,-21.2,-175.2,84.2,79,75,8.05
3,Slave Lake,CA,2021-04-22 02:42:22,55.2834,-114.769,35.6,93,90,19.57
4,Bowen,AU,2021-04-22 02:42:23,-20.0167,148.2333,78.8,65,40,9.22
5,Punta Arenas,CL,2021-04-22 02:42:23,-53.15,-70.9167,44.6,53,0,4.72
6,Ponta Delgada,PT,2021-04-22 02:42:23,37.7333,-25.6667,64.4,94,75,27.63
7,Saint-Philippe,RE,2021-04-22 02:42:24,-21.3585,55.7679,77.0,83,0,8.05
8,Ushuaia,AR,2021-04-22 02:39:06,-54.8,-68.3,42.8,70,75,2.51
9,Upernavik,GL,2021-04-22 02:42:24,72.7868,-56.1549,13.64,66,100,4.99
10,Esperance,AU,2021-04-22 02:42:24,-33.8667,121.9,62.6,67,90,2.3
11,Arraial Do Cabo,BR,2021-04-22 02:42:24,-22.9661,-42.0278,72.3,80,10,7.11
12,Mataura,NZ,2021-04-22 02:42:25,-46.1927,168.8643,55.0,81,92,4.0
13,Albany,US,2021-04-22 02:40:29,42.6001,-73.9662,34.0,59,58,3.0
14,Port Hedland,AU,2021-04-22 02:42:25,-20.3167,118.5667,91.4,11,5,17.27
15,Scarborough,GB,2021-04-22 02:42:25,54.2797,-0.4044,32.0,90,18,3.98
16,San Patricio,US,2021-04-22 02:42:26,28.017,-97.5169,62.6,72,1,12.66
17,Bluff,NZ,2021-04-22 02:42:26,-46.6,168.3333,55.0,81,100,4.0
18,Butaritari,KI,2021-04-22 02:42:26,3.0707,172.7902,81.97,78,74,14.94
19,Hobart,AU,2021-04-22 02:42:27,-42.8794,147.3294,60.8,41,40,23.02
20,Chokurdakh,RU,2021-04-22 02:42:27,70.6333,147.9167,16.29,87,100,13.4
21,Vao,NC,2021-04-22 02:42:27,-22.6667,167.4833,75.27,73,4,3.42
22,Haimen,CN,2021-04-22 02:42:27,23.1935,116.6142,82.4,51,0,4.47
23,Kazachinskoye,RU,2021-04-22 02:42:28,57.6953,93.2761,31.95,76,19,4.25
24,Hofn,IS,2021-04-22 02:42:28,64.2539,-15.2082,40.6,56,100,5.23
25,Kodiak,US,2021-04-22 02:42:28,57.79,-152.4072,42.8,87,90,18.41
26,Tazovskiy,RU,2021-04-22 02:42:29,67.4667,78.7,31.1,95,100,13.67
27,Rikitea,PF,2021-04-22 02:42:29,-23.1203,-134.9692,76.73,76,100,12.82
28,Cherskiy,RU,2021-04-22 02:42:29,68.75,161.3,33.85,80,100,20.45
29,Saint George,US,2021-04-22 02:41:04,37.1041,-113.5841,71.6,11,1,24.16
30,Qaanaaq,GL,2021-04-22 02:42:29,77.484,-69.3632,8.64,70,84,8.72
31,Lavrentiya,RU,2021-04-22 02:42:30,65.5833,-171.0,33.57,73,76,2.37
32,Chuy,UY,2021-04-22 02:42:30,-33.6971,-53.4616,65.88,75,3,12.62
33,Severo-Kurilsk,RU,2021-04-22 02:42:30,50.6789,156.125,36.97,92,100,13.67
34,Srednekolymsk,RU,2021-04-22 02:42:31,67.45,153.6833,31.87,98,71,15.1
35,Disna,BY,2021-04-22 02:42:31,55.568,28.1971,39.15,84,100,7.14
36,Fare,PF,2021-04-22 02:42:31,-16.7,-151.0167,80.6,74,83,15.75
